generated_utc,git_commit,pytest_label,nodeid,test_file,test_class,test_name,outcome,duration_ms,exception_type,exception_message,first_project_frame,markers
2026-09-21T22:01:14.198088+00:00,b4a639311,full,tests/dom/class/test_hard_delete_class_scope_isolation.py::test_DOM_CLASS_001__hard_delete_class_scope_spares_sibling_class,tests/dom/class/test_hard_delete_class_scope_isolation.py,,test_DOM_CLASS_001__hard_delete_class_scope_spares_sibling_class,pass,1301,,,,
2026-09-21T22:01:14.198088+00:00,b4a639311,full,tests/dom/class/test_interest.py::test_DOM_CLASS_001__apply_savings_interest_with_naive_datetimes,tests/dom/class/test_interest.py,,test_DOM_CLASS_001__apply_savings_interest_with_naive_datetimes,pass,678,,,,
2026-09-21T22:01:14.198088+00:00,b4a639311,full,tests/dom/class/test_payroll_settings_class_scope.py::test_DOM_CLASS_001__payroll_settings_update_persists_class_scoped_row,tests/dom/class/test_payroll_settings_class_scope.py,,test_DOM_CLASS_001__payroll_settings_update_persists_class_scoped_row,pass,673,,,,
2026-09-21T22:01:14.198088+00:00,b4a639311,full,tests/dom/class/test_payroll_settings_class_scope.py::test_DOM_CLASS_001__simple_hourly_rate_round_trips_without_precision_loss,tests/dom/class/test_payroll_settings_class_scope.py,,test_DOM_CLASS_001__simple_hourly_rate_round_trips_without_precision_loss,pass,672,,,,
2026-09-21T22:01:14.198088+00:00,b4a639311,full,tests/dom/class/test_payroll_settings_class_scope.py::test_DOM_CLASS_001__expected_weekly_hours_update_writes_to_economic_engine,tests/dom/class/test_payroll_settings_class_scope.py,,test_DOM_CLASS_001__expected_weekly_hours_update_writes_to_economic_engine,pass,669,,,,
2026-09-21T22:01:14.198088+00:00,b4a639311,full,tests/dom/class/test_pending_student_class_isolation.py::test_DOM_CLASS_001__bulk_delete_all_pending_never_crosses_class,tests/dom/class/test_pending_student_class_isolation.py,,test_DOM_CLASS_001__bulk_delete_all_pending_never_crosses_class,pass,1283,,,,
2026-09-21T22:01:14.198088+00:00,b4a639311,full,tests/dom/class/test_pending_student_class_isolation.py::test_DOM_CLASS_001__bulk_delete_rejects_foreign_seat_id,tests/dom/class/test_pending_student_class_isolation.py,,test_DOM_CLASS_001__bulk_delete_rejects_foreign_seat_id,pass,1256,,,,
2026-09-21T22:01:14.198088+00:00,b4a639311,full,tests/dom/class/test_rent_settings_class_scope.py::test_DOM_CLASS_001__rent_settings_update_persists_class_scoped_row,tests/dom/class/test_rent_settings_class_scope.py,,test_DOM_CLASS_001__rent_settings_update_persists_class_scoped_row,pass,671,,,,critical|regression
2026-09-21T22:01:14.198088+00:00,b4a639311,full,tests/dom/class/test_settings_fallback_removal.py::test_DOM_IDEN_006__rent_settings_returns_scoped_row,tests/dom/class/test_settings_fallback_removal.py,,test_DOM_IDEN_006__rent_settings_returns_scoped_row,pass,4,,,,
2026-09-21T22:01:14.198088+00:00,b4a639311,full,tests/dom/class/test_settings_fallback_removal.py::test_DOM_IDEN_006__feature_settings_returns_defaults_without_scoped_row,tests/dom/class/test_settings_fallback_removal.py,,test_DOM_IDEN_006__feature_settings_returns_defaults_without_scoped_row,pass,627,,,,
